,Grand Prix,Driver,Car,Time,year,Code
241,Netherlands,Ronnie  Peterson ,Lotus Ford,1:21.440,1974,PET
242,France,Jody  Scheckter ,Tyrrell Ford,1:00.000,1974,SCH
243,Great Britain,Niki  Lauda ,Ferrari,1:21.100,1974,LAU
244,Germany,Jody  Scheckter ,Tyrrell Ford,7:11.100,1974,SCH
245,Austria,Clay  Regazzoni ,Ferrari,1:37.220,1974,REG
246,Italy,Carlos  Pace ,Brabham Ford,1:34.200,1974,PAC
247,Canada,Niki  Lauda ,Ferrari,1:13.659,1974,LAU
248,United States,Carlos  Pace ,Brabham Ford,1:40.608,1974,PAC
249,Argentina,James  Hunt ,Hesketh Ford,1:50.910,1975,HUN
250,Brazil,Jean-Pierre  Jarier ,Shadow Matra,2:34.160,1975,JAR
251,South Africa,Carlos  Pace ,Brabham Ford,1:17.200,1975,PAC
252,Spain,Mario  Andretti ,Parnelli Ford,1:25.100,1975,AND
253,Monaco,Patrick  Depailler ,Tyrrell Ford,1:28.670,1975,DEP
254,Belgium,Clay  Regazzoni ,Ferrari,1:26.760,1975,REG
255,Sweden,Niki  Lauda ,Ferrari,1:28.267,1975,LAU
256,Netherlands,Niki  Lauda ,Ferrari,1:21.540,1975,LAU
257,France,Jochen  Mass ,McLaren Ford,1:50.600,1975,MAS
258,Great Britain,Clay  Regazzoni ,Ferrari,1:20.900,1975,REG
259,Germany,Clay  Regazzoni ,Ferrari,7:06.400,1975,REG
260,Austria,Vittorio  Brambilla ,March Ford,1:53.900,1975,BRA
261,Italy,Clay  Regazzoni ,Ferrari,1:33.100,1975,REG
262,United States,Emerson  Fittipaldi ,McLaren Ford,1:43.374,1975,FIT
263,Brazil,Jean-Pierre  Jarier ,Shadow Ford,2:35.070,1976,JAR
264,South Africa,Niki  Lauda ,Ferrari,1:17.970,1976,LAU
265,USA West,Clay  Regazzoni ,Ferrari,1:23.076,1976,REG
266,Spain,Jochen  Mass ,McLaren Ford,1:20.930,1976,MAS
267,Belgium,Niki  Lauda ,Ferrari,1:25.980,1976,LAU
268,Monaco,Clay  Regazzoni ,Ferrari,1:30.280,1976,REG
269,Sweden,Mario  Andretti ,Lotus Ford,1:28.002,1976,AND
270,France,Niki  Lauda ,Ferrari,1:51.000,1976,LAU
271,Great Britain,Niki  Lauda ,Ferrari,1:19.910,1976,LAU
272,Germany,Jody  Scheckter ,Tyrrell Ford,7:10.800,1976,SCH
273,Austria,James  Hunt ,McLaren Ford,1:35.910,1976,HUN
274,Netherlands,Clay  Regazzoni ,Ferrari,1:22.590,1976,REG
275,Italy,Ronnie  Peterson ,March Ford,1:41.300,1976,PET
276,Canada,Patrick  Depailler ,Tyrrell Ford,1:13.817,1976,DEP
277,USA East,James  Hunt ,McLaren Ford,1:42.851,1976,HUN
278,Japan,Jacques  Laffite ,Ligier Matra,1:19.970,1976,LAF
279,Argentina,James  Hunt ,McLaren Ford,1:51.060,1977,HUN
280,Brazil,James  Hunt ,McLaren Ford,2:34.550,1977,HUN
281,South Africa,John  Watson ,Brabham Alfa Romeo,1:17.630,1977,WAT
282,USA West,Niki  Lauda ,Ferrari,1:22.753,1977,LAU
283,Spain,Jacques  Laffite ,Ligier Matra,1:20.810,1977,LAF
284,Monaco,Jody  Scheckter ,Wolf Ford,1:31.070,1977,SCH
285,Belgium,Gunnar  Nilsson ,Lotus Ford,1:27.540,1977,NIL
286,Sweden,Mario  Andretti ,Lotus Ford,1:27.607,1977,AND
287,France,Mario  Andretti ,Lotus Ford,1:13.750,1977,AND
288,Great Britain,James  Hunt ,McLaren Ford,1:19.600,1977,HUN
289,Germany,Niki  Lauda ,Ferrari,1:55.990,1977,LAU
290,Austria,John  Watson ,Brabham Alfa Romeo,1:40.960,1977,WAT
291,Netherlands,Niki  Lauda ,Ferrari,1:19.990,1977,LAU
